epoch,train_loss,train_mse,train_ce,train_acc,val_loss,val_mse,val_ce,val_acc,lr,elapsed_s
1,2.506115,1.080027,3.932204,15.42,1.793656,1.012177,2.575135,32.17,9.94e-04,108
2,1.729047,0.996513,2.461581,36.82,1.510818,0.983983,2.037654,42.17,9.76e-04,123
3,1.482993,0.972411,1.993575,45.92,1.435575,0.958361,1.912790,46.33,9.46e-04,121
4,1.362311,0.955889,1.768733,51.30,1.361288,0.942495,1.780082,47.50,9.05e-04,117
5,1.280299,0.937835,1.622763,54.67,1.354052,0.917857,1.790247,48.00,8.54e-04,117
6,1.205188,0.925665,1.484711,58.36,1.310719,0.891874,1.729563,53.67,7.94e-04,119
7,1.132457,0.915410,1.349504,61.40,1.313062,0.888835,1.737288,53.83,7.27e-04,118
8,1.108900,0.911834,1.305967,62.55,1.311304,0.873623,1.748984,52.17,6.55e-04,116
9,1.059383,0.908559,1.210208,65.48,1.264296,0.865497,1.663096,56.00,5.78e-04,118
10,1.011199,0.894987,1.127411,67.52,1.252767,0.861030,1.644503,55.50,5.00e-04,116
11,0.976942,0.892105,1.061780,69.50,1.239067,0.847426,1.630709,56.83,4.22e-04,119
12,0.935193,0.886571,0.983814,71.73,1.230411,0.852832,1.607989,57.17,3.45e-04,116
13,0.900493,0.882279,0.918708,73.95,1.241700,0.844760,1.638640,57.17,2.73e-04,121
14,0.879657,0.873743,0.885571,74.30,1.225301,0.830449,1.620153,56.67,2.06e-04,116
15,0.857425,0.877912,0.836939,75.90,1.192942,0.833176,1.552707,56.83,1.46e-04,117
16,0.831158,0.870372,0.791944,77.55,1.199222,0.827399,1.571045,57.50,9.55e-05,120
17,0.806702,0.868965,0.744440,78.44,1.189306,0.830777,1.547835,57.17,5.45e-05,114
18,0.806032,0.868681,0.743383,79.14,1.188074,0.822097,1.554052,58.83,2.45e-05,118
19,0.795954,0.862717,0.729191,79.68,1.185110,0.824452,1.545767,57.50,6.16e-06,120
20,0.787846,0.862717,0.712976,79.46,1.180264,0.822650,1.537879,58.33,0.00e+00,118
