epoch,train_loss,train_mse,train_ce,train_acc,val_loss,val_mse,val_ce,val_acc,lr,elapsed_s
1,2.181266,1.055667,3.306865,24.29,1.524967,0.948397,2.101536,42.83,9.94e-04,70
2,1.408675,0.960870,1.856479,49.13,1.448030,0.954731,1.941329,47.00,9.76e-04,76
3,1.216711,0.932200,1.501222,56.97,1.432579,0.904556,1.960601,48.50,9.46e-04,78
4,1.082141,0.910162,1.254119,64.24,1.433265,0.886766,1.979764,48.67,9.05e-04,76
5,0.999367,0.897674,1.101060,67.20,1.355251,0.883083,1.827419,52.50,8.54e-04,77
6,0.932733,0.881310,0.984155,70.84,1.371272,0.871148,1.871396,50.83,7.94e-04,82
7,0.862064,0.872430,0.851698,74.03,1.412128,0.852024,1.972232,50.17,7.27e-04,76
8,0.803156,0.866649,0.739663,77.47,1.353820,0.864103,1.843537,54.67,6.55e-04,73
9,0.746120,0.862616,0.629624,81.03,1.418516,0.852701,1.984331,54.33,5.78e-04,73
10,0.702375,0.855905,0.548844,83.31,1.350030,0.815886,1.884173,55.83,5.00e-04,75
11,0.669527,0.847429,0.491624,84.91,1.335153,0.824659,1.845647,56.67,4.22e-04,70
12,0.652194,0.840782,0.463606,86.32,1.320387,0.816232,1.824542,56.00,3.45e-04,57
13,0.611784,0.836429,0.387140,88.80,1.296640,0.804318,1.788961,56.83,2.73e-04,57
14,0.593077,0.832978,0.353176,89.25,1.264514,0.795985,1.733044,58.00,2.06e-04,57
15,0.569818,0.827318,0.312317,91.03,1.256344,0.796422,1.716266,59.00,1.46e-04,56
16,0.544300,0.821772,0.266829,92.77,1.267300,0.795485,1.739115,58.67,9.55e-05,56
17,0.538540,0.819380,0.257700,93.29,1.249862,0.789272,1.710453,59.33,5.45e-05,56
18,0.519764,0.817151,0.222377,94.18,1.257697,0.784353,1.731042,59.50,2.45e-05,58
19,0.526174,0.816912,0.235437,93.81,1.247534,0.785905,1.709164,59.33,6.16e-06,56
20,0.515989,0.814754,0.217223,94.79,1.253520,0.784356,1.722685,59.33,0.00e+00,57
