class_name,correct,total,accuracy
110.Geococcyx,29,30,96.66666666666667
101.White_Pelican,19,20,95.0
189.Red_bellied_Woodpecker,28,30,93.33333333333333
070.Green_Violetear,28,30,93.33333333333333
074.Florida_Jay,28,30,93.33333333333333
134.Cape_Glossy_Starling,28,30,93.33333333333333
053.Western_Grebe,28,30,93.33333333333333
014.Indigo_Bunting,28,30,93.33333333333333
061.Heermann_Gull,27,30,90.0
015.Lazuli_Bunting,25,28,89.28571428571429
075.Green_Jay,24,27,88.88888888888889
090.Red_breasted_Merganser,26,30,86.66666666666667
073.Blue_Jay,26,30,86.66666666666667
076.Dark_eyed_Junco,26,30,86.66666666666667
018.Spotted_Catbird,13,15,86.66666666666667
028.Brown_Creeper,25,29,86.20689655172413
160.Black_throated_Blue_Warbler,25,29,86.20689655172413
003.Sooty_Albatross,24,28,85.71428571428571
079.Belted_Kingfisher,25,30,83.33333333333334
069.Rufous_Hummingbird,25,30,83.33333333333334
100.Brown_Pelican,25,30,83.33333333333334
052.Pied_billed_Grebe,25,30,83.33333333333334
186.Cedar_Waxwing,25,30,83.33333333333334
164.Cerulean_Warbler,24,30,80.0
159.Black_and_white_Warbler,24,30,80.0
081.Pied_Kingfisher,24,30,80.0
063.Ivory_Gull,24,30,80.0
187.American_Three_toed_Woodpecker,16,20,80.0
086.Pacific_Loon,24,30,80.0
057.Rose_breasted_Grosbeak,24,30,80.0
089.Hooded_Merganser,24,30,80.0
140.Summer_Tanager,24,30,80.0
094.White_breasted_Nuthatch,24,30,80.0
046.Gadwall,24,30,80.0
010.Red_winged_Blackbird,24,30,80.0
019.Gray_Catbird,23,29,79.3103448275862
007.Parakeet_Auklet,18,23,78.26086956521739
192.Downy_Woodpecker,23,30,76.66666666666667
114.Black_throated_Sparrow,23,30,76.66666666666667
185.Bohemian_Waxwing,23,30,76.66666666666667
139.Scarlet_Tanager,23,30,76.66666666666667
083.White_breasted_Kingfisher,23,30,76.66666666666667
085.Horned_Lark,23,30,76.66666666666667
087.Mallard,23,30,76.66666666666667
093.Clark_Nutcracker,23,30,76.66666666666667
048.European_Goldfinch,23,30,76.66666666666667
148.Green_tailed_Towhee,23,30,76.66666666666667
200.Common_Yellowthroat,23,30,76.66666666666667
035.Purple_Finch,23,30,76.66666666666667
004.Groove_billed_Ani,23,30,76.66666666666667
036.Northern_Flicker,23,30,76.66666666666667
033.Yellow_billed_Cuckoo,22,29,75.86206896551724
016.Painted_Bunting,21,28,75.0
105.Whip_poor_Will,14,19,73.68421052631578
132.White_crowned_Sparrow,22,30,73.33333333333333
182.Yellow_Warbler,22,30,73.33333333333333
183.Northern_Waterthrush,22,30,73.33333333333333
188.Pileated_Woodpecker,22,30,73.33333333333333
077.Tropical_Kingbird,22,30,73.33333333333333
198.Rock_Wren,22,30,73.33333333333333
044.Frigatebird,22,30,73.33333333333333
055.Evening_Grosbeak,22,30,73.33333333333333
002.Laysan_Albatross,22,30,73.33333333333333
047.American_Goldfinch,22,30,73.33333333333333
199.Winter_Wren,22,30,73.33333333333333
024.Red_faced_Cormorant,16,22,72.72727272727273
151.Black_capped_Vireo,15,21,71.42857142857143
098.Scott_Oriole,21,30,70.0
088.Western_Meadowlark,21,30,70.0
013.Bobolink,21,30,70.0
162.Canada_Warbler,21,30,70.0
170.Mourning_Warbler,21,30,70.0
122.Harris_Sparrow,21,30,70.0
092.Nighthawk,21,30,70.0
106.Horned_Puffin,21,30,70.0
191.Red_headed_Woodpecker,21,30,70.0
197.Marsh_Wren,21,30,70.0
194.Cactus_Wren,21,30,70.0
022.Chuck_will_Widow,18,26,69.23076923076923
034.Gray_crowned_Rosy_Finch,20,29,68.96551724137932
180.Wilson_Warbler,20,30,66.66666666666666
045.Northern_Fulmar,20,30,66.66666666666666
095.Baltimore_Oriole,20,30,66.66666666666666
150.Sage_Thrasher,20,30,66.66666666666666
042.Vermilion_Flycatcher,20,30,66.66666666666666
184.Louisiana_Waterthrush,20,30,66.66666666666666
176.Prairie_Warbler,20,30,66.66666666666666
097.Orchard_Oriole,19,29,65.51724137931035
005.Crested_Auklet,9,14,64.28571428571429
058.Pigeon_Guillemot,18,28,64.28571428571429
041.Scissor_tailed_Flycatcher,19,30,63.33333333333333
054.Blue_Grosbeak,19,30,63.33333333333333
158.Bay_breasted_Warbler,19,30,63.33333333333333
068.Ruby_throated_Hummingbird,19,30,63.33333333333333
177.Prothonotary_Warbler,19,30,63.33333333333333
050.Eared_Grebe,19,30,63.33333333333333
181.Worm_eating_Warbler,18,29,62.06896551724138
166.Golden_winged_Warbler,18,29,62.06896551724138
190.Red_cockaded_Woodpecker,18,29,62.06896551724138
012.Yellow_headed_Blackbird,16,26,61.53846153846154
056.Pine_Grosbeak,18,30,60.0
195.Carolina_Wren,18,30,60.0
001.Black_footed_Albatross,18,30,60.0
149.Brown_Thrasher,17,29,58.620689655172406
125.Lincoln_Sparrow,17,29,58.620689655172406
138.Tree_Swallow,17,30,56.666666666666664
120.Fox_Sparrow,17,30,56.666666666666664
108.White_necked_Raven,17,30,56.666666666666664
137.Cliff_Swallow,17,30,56.666666666666664
080.Green_Kingfisher,17,30,56.666666666666664
082.Ringed_Kingfisher,17,30,56.666666666666664
154.Red_eyed_Vireo,17,30,56.666666666666664
128.Seaside_Sparrow,17,30,56.666666666666664
066.Western_Gull,17,30,56.666666666666664
084.Red_legged_Kittiwake,13,23,56.52173913043478
008.Rhinoceros_Auklet,10,18,55.55555555555556
006.Least_Auklet,6,11,54.54545454545454
021.Eastern_Towhee,16,30,53.333333333333336
147.Least_Tern,16,30,53.333333333333336
026.Bronzed_Cowbird,16,30,53.333333333333336
112.Great_Grey_Shrike,16,30,53.333333333333336
109.American_Redstart,16,30,53.333333333333336
051.Horned_Grebe,16,30,53.333333333333336
165.Chestnut_sided_Warbler,16,30,53.333333333333336
017.Cardinal,14,27,51.85185185185185
078.Gray_Kingbird,15,29,51.724137931034484
161.Blue_winged_Warbler,15,30,50.0
163.Cape_May_Warbler,15,30,50.0
133.White_throated_Sparrow,15,30,50.0
171.Myrtle_Warbler,15,30,50.0
067.Anna_Hummingbird,15,30,50.0
196.House_Wren,15,30,50.0
099.Ovenbird,15,30,50.0
169.Magnolia_Warbler,14,29,48.275862068965516
124.Le_Conte_Sparrow,14,29,48.275862068965516
141.Artic_Tern,14,29,48.275862068965516
168.Kentucky_Warbler,14,29,48.275862068965516
153.Philadelphia_Vireo,14,29,48.275862068965516
096.Hooded_Oriole,14,30,46.666666666666664
175.Pine_Warbler,14,30,46.666666666666664
111.Loggerhead_Shrike,14,30,46.666666666666664
193.Bewick_Wren,14,30,46.666666666666664
131.Vesper_Sparrow,13,30,43.333333333333336
031.Black_billed_Cuckoo,13,30,43.333333333333336
143.Caspian_Tern,13,30,43.333333333333336
