epoch,train_loss,train_acc,val_acc,lr,elapsed_s
1,4.2190,21.60,44.33,9.97e-04,1
2,2.3903,65.15,55.67,9.89e-04,0
3,1.5798,78.11,59.00,9.76e-04,0
4,1.1452,83.19,59.33,9.57e-04,0
5,0.9047,86.63,58.83,9.33e-04,0
6,0.7424,88.91,59.67,9.05e-04,0
7,0.6232,90.60,61.50,8.72e-04,0
8,0.5422,91.66,60.17,8.35e-04,0
9,0.4819,92.71,61.00,7.94e-04,0
10,0.4249,93.86,59.00,7.50e-04,0
11,0.3816,94.92,60.17,7.03e-04,0
12,0.3503,95.14,60.33,6.55e-04,0
13,0.3220,95.66,60.83,6.04e-04,0
14,0.2929,96.33,61.17,5.52e-04,0
15,0.2732,96.79,58.67,5.00e-04,0
16,0.2547,97.33,59.67,4.48e-04,0
17,0.2444,97.37,59.67,3.96e-04,0
18,0.2284,97.66,59.33,3.45e-04,0
19,0.2175,97.68,61.00,2.97e-04,0
20,0.2039,98.18,60.83,2.50e-04,0
21,0.2008,98.31,59.67,2.06e-04,0
22,0.1901,98.57,60.00,1.65e-04,0
23,0.1843,98.59,59.00,1.28e-04,0
24,0.1854,98.52,59.83,9.55e-05,0
25,0.1830,98.59,58.83,6.70e-05,0
26,0.1786,98.65,59.33,4.32e-05,0
27,0.1750,98.79,58.83,2.45e-05,0
28,0.1732,98.85,59.00,1.09e-05,0
29,0.1724,98.79,59.67,2.74e-06,0
30,0.1756,98.72,59.17,0.00e+00,0
