epoch,train_loss,train_acc,val_acc,lr,elapsed_s
1,4.0923,24.88,48.50,9.97e-04,1
2,2.3270,64.48,54.50,9.89e-04,0
3,1.5806,76.20,58.83,9.76e-04,0
4,1.1815,82.54,59.33,9.57e-04,0
5,0.9554,84.74,59.50,9.33e-04,0
6,0.7831,87.58,60.17,9.05e-04,0
7,0.6590,89.67,58.67,8.72e-04,0
8,0.5724,91.32,60.17,8.35e-04,0
9,0.5020,92.42,58.50,7.94e-04,0
10,0.4506,92.94,60.17,7.50e-04,0
11,0.4016,94.29,58.83,7.03e-04,0
12,0.3601,95.48,59.17,6.55e-04,0
13,0.3284,96.00,60.50,6.04e-04,0
14,0.3065,96.37,60.17,5.52e-04,0
15,0.2866,96.27,60.17,5.00e-04,0
16,0.2600,97.22,60.33,4.48e-04,0
17,0.2485,97.02,59.33,3.96e-04,0
18,0.2285,98.09,60.33,3.45e-04,0
19,0.2188,97.98,61.33,2.97e-04,0
20,0.2055,98.42,60.00,2.50e-04,0
21,0.2002,98.15,59.83,2.06e-04,0
22,0.1888,98.61,60.33,1.65e-04,0
23,0.1847,98.52,60.00,1.28e-04,0
24,0.1792,98.78,59.83,9.55e-05,0
25,0.1788,98.76,59.83,6.70e-05,0
26,0.1736,98.78,60.33,4.32e-05,0
27,0.1699,98.89,59.83,2.45e-05,0
28,0.1679,99.09,60.00,1.09e-05,0
29,0.1702,98.87,60.50,2.74e-06,0
30,0.1659,98.81,59.67,0.00e+00,0
