class_name,correct,total,accuracy
101.White_Pelican,20,20,100.0
100.Brown_Pelican,30,30,100.0
110.Geococcyx,29,30,96.66666666666667
073.Blue_Jay,28,30,93.33333333333333
018.Spotted_Catbird,14,15,93.33333333333333
007.Parakeet_Auklet,21,23,91.30434782608695
140.Summer_Tanager,27,30,90.0
070.Green_Violetear,27,30,90.0
085.Horned_Lark,27,30,90.0
090.Red_breasted_Merganser,27,30,90.0
093.Clark_Nutcracker,27,30,90.0
048.European_Goldfinch,27,30,90.0
134.Cape_Glossy_Starling,27,30,90.0
046.Gadwall,27,30,90.0
189.Red_bellied_Woodpecker,27,30,90.0
015.Lazuli_Bunting,25,28,89.28571428571429
075.Green_Jay,24,27,88.88888888888889
148.Green_tailed_Towhee,26,30,86.66666666666667
052.Pied_billed_Grebe,26,30,86.66666666666667
053.Western_Grebe,26,30,86.66666666666667
055.Evening_Grosbeak,26,30,86.66666666666667
159.Black_and_white_Warbler,26,30,86.66666666666667
192.Downy_Woodpecker,26,30,86.66666666666667
106.Horned_Puffin,26,30,86.66666666666667
074.Florida_Jay,26,30,86.66666666666667
186.Cedar_Waxwing,26,30,86.66666666666667
094.White_breasted_Nuthatch,26,30,86.66666666666667
035.Purple_Finch,26,30,86.66666666666667
081.Pied_Kingfisher,26,30,86.66666666666667
024.Red_faced_Cormorant,19,22,86.36363636363636
190.Red_cockaded_Woodpecker,25,29,86.20689655172413
151.Black_capped_Vireo,18,21,85.71428571428571
079.Belted_Kingfisher,25,30,83.33333333333334
164.Cerulean_Warbler,25,30,83.33333333333334
057.Rose_breasted_Grosbeak,25,30,83.33333333333334
014.Indigo_Bunting,25,30,83.33333333333334
028.Brown_Creeper,24,29,82.75862068965517
160.Black_throated_Blue_Warbler,24,29,82.75862068965517
019.Gray_Catbird,24,29,82.75862068965517
089.Hooded_Merganser,24,30,80.0
083.White_breasted_Kingfisher,24,30,80.0
187.American_Three_toed_Woodpecker,16,20,80.0
002.Laysan_Albatross,24,30,80.0
199.Winter_Wren,24,30,80.0
063.Ivory_Gull,24,30,80.0
061.Heermann_Gull,24,30,80.0
200.Common_Yellowthroat,24,30,80.0
047.American_Goldfinch,24,30,80.0
010.Red_winged_Blackbird,24,30,80.0
004.Groove_billed_Ani,24,30,80.0
003.Sooty_Albatross,22,28,78.57142857142857
016.Painted_Bunting,22,28,78.57142857142857
084.Red_legged_Kittiwake,18,23,78.26086956521739
194.Cactus_Wren,23,30,76.66666666666667
182.Yellow_Warbler,23,30,76.66666666666667
077.Tropical_Kingbird,23,30,76.66666666666667
177.Prothonotary_Warbler,23,30,76.66666666666667
088.Western_Meadowlark,23,30,76.66666666666667
013.Bobolink,23,30,76.66666666666667
041.Scissor_tailed_Flycatcher,23,30,76.66666666666667
195.Carolina_Wren,23,30,76.66666666666667
150.Sage_Thrasher,23,30,76.66666666666667
198.Rock_Wren,23,30,76.66666666666667
147.Least_Tern,23,30,76.66666666666667
076.Dark_eyed_Junco,23,30,76.66666666666667
105.Whip_poor_Will,14,19,73.68421052631578
036.Northern_Flicker,22,30,73.33333333333333
158.Bay_breasted_Warbler,22,30,73.33333333333333
109.American_Redstart,22,30,73.33333333333333
092.Nighthawk,22,30,73.33333333333333
021.Eastern_Towhee,22,30,73.33333333333333
082.Ringed_Kingfisher,22,30,73.33333333333333
114.Black_throated_Sparrow,22,30,73.33333333333333
139.Scarlet_Tanager,22,30,73.33333333333333
086.Pacific_Loon,22,30,73.33333333333333
050.Eared_Grebe,22,30,73.33333333333333
185.Bohemian_Waxwing,22,30,73.33333333333333
069.Rufous_Hummingbird,22,30,73.33333333333333
034.Gray_crowned_Rosy_Finch,21,29,72.41379310344827
166.Golden_winged_Warbler,21,29,72.41379310344827
026.Bronzed_Cowbird,21,30,70.0
044.Frigatebird,21,30,70.0
098.Scott_Oriole,21,30,70.0
099.Ovenbird,21,30,70.0
188.Pileated_Woodpecker,21,30,70.0
133.White_throated_Sparrow,21,30,70.0
122.Harris_Sparrow,21,30,70.0
125.Lincoln_Sparrow,20,29,68.96551724137932
097.Orchard_Oriole,20,29,68.96551724137932
183.Northern_Waterthrush,20,30,66.66666666666666
191.Red_headed_Woodpecker,20,30,66.66666666666666
080.Green_Kingfisher,20,30,66.66666666666666
181.Worm_eating_Warbler,19,29,65.51724137931035
168.Kentucky_Warbler,19,29,65.51724137931035
022.Chuck_will_Widow,17,26,65.38461538461539
058.Pigeon_Guillemot,18,28,64.28571428571429
005.Crested_Auklet,9,14,64.28571428571429
197.Marsh_Wren,19,30,63.33333333333333
054.Blue_Grosbeak,19,30,63.33333333333333
145.Elegant_Tern,19,30,63.33333333333333
051.Horned_Grebe,19,30,63.33333333333333
137.Cliff_Swallow,19,30,63.33333333333333
