class_name,correct,total,accuracy
101.White_Pelican,20,20,100.0
074.Florida_Jay,30,30,100.0
070.Green_Violetear,29,30,96.66666666666667
100.Brown_Pelican,29,30,96.66666666666667
110.Geococcyx,28,30,93.33333333333333
073.Blue_Jay,28,30,93.33333333333333
134.Cape_Glossy_Starling,28,30,93.33333333333333
189.Red_bellied_Woodpecker,28,30,93.33333333333333
014.Indigo_Bunting,28,30,93.33333333333333
046.Gadwall,27,30,90.0
053.Western_Grebe,27,30,90.0
035.Purple_Finch,27,30,90.0
076.Dark_eyed_Junco,27,30,90.0
187.American_Three_toed_Woodpecker,18,20,90.0
090.Red_breasted_Merganser,27,30,90.0
028.Brown_Creeper,26,29,89.65517241379311
007.Parakeet_Auklet,20,23,86.95652173913044
047.American_Goldfinch,26,30,86.66666666666667
159.Black_and_white_Warbler,26,30,86.66666666666667
148.Green_tailed_Towhee,26,30,86.66666666666667
018.Spotted_Catbird,13,15,86.66666666666667
140.Summer_Tanager,26,30,86.66666666666667
094.White_breasted_Nuthatch,26,30,86.66666666666667
186.Cedar_Waxwing,26,30,86.66666666666667
057.Rose_breasted_Grosbeak,26,30,86.66666666666667
085.Horned_Lark,26,30,86.66666666666667
081.Pied_Kingfisher,26,30,86.66666666666667
019.Gray_Catbird,25,29,86.20689655172413
003.Sooty_Albatross,24,28,85.71428571428571
075.Green_Jay,23,27,85.18518518518519
105.Whip_poor_Will,16,19,84.21052631578947
052.Pied_billed_Grebe,25,30,83.33333333333334
061.Heermann_Gull,25,30,83.33333333333334
036.Northern_Flicker,25,30,83.33333333333334
164.Cerulean_Warbler,25,30,83.33333333333334
180.Wilson_Warbler,25,30,83.33333333333334
015.Lazuli_Bunting,23,28,82.14285714285714
151.Black_capped_Vireo,17,21,80.95238095238095
012.Yellow_headed_Blackbird,21,26,80.76923076923077
086.Pacific_Loon,24,30,80.0
048.European_Goldfinch,24,30,80.0
089.Hooded_Merganser,24,30,80.0
093.Clark_Nutcracker,24,30,80.0
063.Ivory_Gull,24,30,80.0
192.Downy_Woodpecker,24,30,80.0
190.Red_cockaded_Woodpecker,23,29,79.3103448275862
005.Crested_Auklet,11,14,78.57142857142857
016.Painted_Bunting,22,28,78.57142857142857
185.Bohemian_Waxwing,23,30,76.66666666666667
077.Tropical_Kingbird,23,30,76.66666666666667
069.Rufous_Hummingbird,23,30,76.66666666666667
147.Least_Tern,23,30,76.66666666666667
109.American_Redstart,23,30,76.66666666666667
160.Black_throated_Blue_Warbler,22,29,75.86206896551724
183.Northern_Waterthrush,22,30,73.33333333333333
106.Horned_Puffin,22,30,73.33333333333333
004.Groove_billed_Ani,22,30,73.33333333333333
198.Rock_Wren,22,30,73.33333333333333
079.Belted_Kingfisher,22,30,73.33333333333333
083.White_breasted_Kingfisher,22,30,73.33333333333333
055.Evening_Grosbeak,22,30,73.33333333333333
166.Golden_winged_Warbler,21,29,72.41379310344827
181.Worm_eating_Warbler,21,29,72.41379310344827
191.Red_headed_Woodpecker,21,30,70.0
095.Baltimore_Oriole,21,30,70.0
002.Laysan_Albatross,21,30,70.0
087.Mallard,21,30,70.0
114.Black_throated_Sparrow,21,30,70.0
197.Marsh_Wren,21,30,70.0
122.Harris_Sparrow,21,30,70.0
132.White_crowned_Sparrow,21,30,70.0
200.Common_Yellowthroat,21,30,70.0
045.Northern_Fulmar,21,30,70.0
026.Bronzed_Cowbird,21,30,70.0
068.Ruby_throated_Hummingbird,21,30,70.0
013.Bobolink,21,30,70.0
010.Red_winged_Blackbird,21,30,70.0
042.Vermilion_Flycatcher,21,30,70.0
051.Horned_Grebe,21,30,70.0
044.Frigatebird,21,30,70.0
041.Scissor_tailed_Flycatcher,21,30,70.0
058.Pigeon_Guillemot,19,28,67.85714285714286
082.Ringed_Kingfisher,20,30,66.66666666666666
194.Cactus_Wren,20,30,66.66666666666666
021.Eastern_Towhee,20,30,66.66666666666666
067.Anna_Hummingbird,20,30,66.66666666666666
150.Sage_Thrasher,20,30,66.66666666666666
199.Winter_Wren,20,30,66.66666666666666
139.Scarlet_Tanager,20,30,66.66666666666666
092.Nighthawk,20,30,66.66666666666666
163.Cape_May_Warbler,20,30,66.66666666666666
158.Bay_breasted_Warbler,20,30,66.66666666666666
088.Western_Meadowlark,20,30,66.66666666666666
108.White_necked_Raven,20,30,66.66666666666666
188.Pileated_Woodpecker,20,30,66.66666666666666
097.Orchard_Oriole,19,29,65.51724137931035
006.Least_Auklet,7,11,63.63636363636363
128.Seaside_Sparrow,19,30,63.33333333333333
123.Henslow_Sparrow,19,30,63.33333333333333
184.Louisiana_Waterthrush,19,30,63.33333333333333
001.Black_footed_Albatross,19,30,63.33333333333333
050.Eared_Grebe,19,30,63.33333333333333
054.Blue_Grosbeak,19,30,63.33333333333333
195.Carolina_Wren,19,30,63.33333333333333
034.Gray_crowned_Rosy_Finch,18,29,62.06896551724138
008.Rhinoceros_Auklet,11,18,61.111111111111114
170.Mourning_Warbler,18,30,60.0
182.Yellow_Warbler,18,30,60.0
098.Scott_Oriole,18,30,60.0
031.Black_billed_Cuckoo,18,30,60.0
124.Le_Conte_Sparrow,17,29,58.620689655172406
080.Green_Kingfisher,17,30,56.666666666666664
120.Fox_Sparrow,17,30,56.666666666666664
162.Canada_Warbler,17,30,56.666666666666664
177.Prothonotary_Warbler,17,30,56.666666666666664
176.Prairie_Warbler,17,30,56.666666666666664
084.Red_legged_Kittiwake,13,23,56.52173913043478
017.Cardinal,15,27,55.55555555555556
115.Brewer_Sparrow,16,29,55.172413793103445
024.Red_faced_Cormorant,12,22,54.54545454545454
138.Tree_Swallow,16,30,53.333333333333336
165.Chestnut_sided_Warbler,16,30,53.333333333333336
111.Loggerhead_Shrike,16,30,53.333333333333336
167.Hooded_Warbler,16,30,53.333333333333336
171.Myrtle_Warbler,16,30,53.333333333333336
033.Yellow_billed_Cuckoo,15,29,51.724137931034484
125.Lincoln_Sparrow,15,29,51.724137931034484
141.Artic_Tern,15,29,51.724137931034484
149.Brown_Thrasher,15,29,51.724137931034484
168.Kentucky_Warbler,15,29,51.724137931034484
112.Great_Grey_Shrike,15,30,50.0
022.Chuck_will_Widow,13,26,50.0
127.Savannah_Sparrow,15,30,50.0
175.Pine_Warbler,15,30,50.0
023.Brandt_Cormorant,14,29,48.275862068965516
078.Gray_Kingbird,14,29,48.275862068965516
153.Philadelphia_Vireo,14,29,48.275862068965516
169.Magnolia_Warbler,14,29,48.275862068965516
032.Mangrove_Cuckoo,11,23,47.82608695652174
136.Barn_Swallow,14,30,46.666666666666664
040.Olive_sided_Flycatcher,14,30,46.666666666666664
099.Ovenbird,14,30,46.666666666666664
161.Blue_winged_Warbler,14,30,46.666666666666664
056.Pine_Grosbeak,14,30,46.666666666666664
066.Western_Gull,14,30,46.666666666666664
178.Swainson_Warbler,12,26,46.15384615384615
174.Palm_Warbler,13,30,43.333333333333336
155.Warbling_Vireo,13,30,43.333333333333336
196.House_Wren,13,30,43.333333333333336
172.Nashville_Warbler,13,30,43.333333333333336
154.Red_eyed_Vireo,13,30,43.333333333333336
137.Cliff_Swallow,13,30,43.333333333333336
152.Blue_headed_Vireo,13,30,43.333333333333336
096.Hooded_Oriole,13,30,43.333333333333336
107.Common_Raven,13,30,43.333333333333336
133.White_throated_Sparrow,13,30,43.333333333333336
135.Bank_Swallow,12,30,40.0
065.Slaty_backed_Gull,8,20,40.0
193.Bewick_Wren,12,30,40.0
113.Baird_Sparrow,8,20,40.0
072.Pomarine_Jaeger,12,30,40.0
156.White_eyed_Vireo,12,30,40.0
157.Yellow_throated_Vireo,11,29,37.93103448275862
117.Clay_colored_Sparrow,11,29,37.93103448275862
020.Yellow_breasted_Chat,11,29,37.93103448275862
118.House_Sparrow,11,30,36.666666666666664
129.Song_Sparrow,11,30,36.666666666666664
103.Sayornis,11,30,36.666666666666664
030.Fish_Crow,11,30,36.666666666666664
126.Nelson_Sharp_tailed_Sparrow,11,30,36.666666666666664
049.Boat_tailed_Grackle,11,30,36.666666666666664
119.Field_Sparrow,10,29,34.48275862068966
131.Vesper_Sparrow,10,30,33.33333333333333
027.Shiny_Cowbird,10,30,33.33333333333333
116.Chipping_Sparrow,10,30,33.33333333333333
104.American_Pipit,10,30,33.33333333333333
009.Brewer_Blackbird,9,29,31.03448275862069
060.Glaucous_winged_Gull,9,29,31.03448275862069
121.Grasshopper_Sparrow,9,30,30.0
025.Pelagic_Cormorant,9,30,30.0
011.Rusty_Blackbird,9,30,30.0
142.Black_Tern,9,30,30.0
064.Ring_billed_Gull,9,30,30.0
102.Western_Wood_Pewee,9,30,30.0
071.Long_tailed_Jaeger,9,30,30.0
039.Least_Flycatcher,8,29,27.586206896551722
179.Tennessee_Warbler,8,29,27.586206896551722
145.Elegant_Tern,8,30,26.666666666666668
173.Orange_crowned_Warbler,8,30,26.666666666666668
130.Tree_Sparrow,8,30,26.666666666666668
143.Caspian_Tern,8,30,26.666666666666668
037.Acadian_Flycatcher,7,29,24.137931034482758
062.Herring_Gull,7,30,23.333333333333332
029.American_Crow,6,30,20.0
038.Great_Crested_Flycatcher,6,30,20.0
144.Common_Tern,6,30,20.0
043.Yellow_bellied_Flycatcher,5,29,17.24137931034483
091.Mockingbird,5,30,16.666666666666664
146.Forsters_Tern,5,30,16.666666666666664
059.California_Gull,4,30,13.333333333333334
