epoch,train_loss,train_acc,val_acc,lr,elapsed_s
1,4.9030,7.66,31.50,9.97e-04,1
2,3.4153,49.50,45.17,9.89e-04,0
3,2.3893,68.98,52.50,9.76e-04,0
4,1.6996,79.35,56.33,9.57e-04,0
5,1.2440,85.26,58.33,9.33e-04,0
6,0.9317,89.71,59.17,9.05e-04,0
7,0.7211,93.70,60.83,8.72e-04,0
8,0.5677,95.38,60.67,8.35e-04,0
9,0.4556,96.94,61.33,7.94e-04,0
10,0.3699,98.00,62.00,7.50e-04,0
11,0.3052,98.94,61.17,7.03e-04,0
12,0.2558,99.05,61.67,6.55e-04,0
13,0.2254,99.43,61.67,6.04e-04,0
14,0.1974,99.50,61.83,5.52e-04,0
15,0.1748,99.63,62.00,5.00e-04,0
16,0.1551,99.63,62.17,4.48e-04,0
17,0.1413,99.91,61.50,3.96e-04,0
18,0.1314,99.93,61.50,3.45e-04,0
19,0.1246,99.91,61.50,2.97e-04,0
20,0.1147,99.87,61.50,2.50e-04,0
21,0.1104,99.96,61.33,2.06e-04,0
22,0.1053,99.93,60.67,1.65e-04,0
23,0.1001,99.93,61.00,1.28e-04,0
24,0.0987,99.96,61.50,9.55e-05,0
25,0.0980,99.94,61.00,6.70e-05,0
26,0.0943,99.98,61.17,4.32e-05,0
27,0.0941,99.98,61.33,2.45e-05,0
28,0.0905,100.00,61.17,1.09e-05,0
29,0.0943,99.98,61.33,2.74e-06,0
30,0.0903,99.98,61.00,0.00e+00,0
