class_id,class_name,correct,total,accuracy
100,101.White_Pelican,20,20,100.0
17,018.Spotted_Catbird,15,15,100.0
109,110.Geococcyx,30,30,100.0
69,070.Green_Violetear,29,30,96.66666666666667
99,100.Brown_Pelican,29,30,96.66666666666667
188,189.Red_bellied_Woodpecker,29,30,96.66666666666667
72,073.Blue_Jay,28,30,93.33333333333333
60,061.Heermann_Gull,28,30,93.33333333333333
92,093.Clark_Nutcracker,28,30,93.33333333333333
52,053.Western_Grebe,28,30,93.33333333333333
73,074.Florida_Jay,28,30,93.33333333333333
191,192.Downy_Woodpecker,28,30,93.33333333333333
3,004.Groove_billed_Ani,28,30,93.33333333333333
27,028.Brown_Creeper,27,29,93.10344827586206
74,075.Green_Jay,25,27,92.5925925925926
6,007.Parakeet_Auklet,21,23,91.30434782608695
89,090.Red_breasted_Merganser,27,30,90.0
62,063.Ivory_Gull,27,30,90.0
46,047.American_Goldfinch,27,30,90.0
34,035.Purple_Finch,27,30,90.0
54,055.Evening_Grosbeak,27,30,90.0
133,134.Cape_Glossy_Starling,27,30,90.0
84,085.Horned_Lark,27,30,90.0
159,160.Black_throated_Blue_Warbler,26,29,89.65517241379311
163,164.Cerulean_Warbler,26,30,86.66666666666667
158,159.Black_and_white_Warbler,26,30,86.66666666666667
147,148.Green_tailed_Towhee,26,30,86.66666666666667
85,086.Pacific_Loon,26,30,86.66666666666667
80,081.Pied_Kingfisher,26,30,86.66666666666667
82,083.White_breasted_Kingfisher,26,30,86.66666666666667
47,048.European_Goldfinch,26,30,86.66666666666667
51,052.Pied_billed_Grebe,26,30,86.66666666666667
75,076.Dark_eyed_Junco,26,30,86.66666666666667
93,094.White_breasted_Nuthatch,26,30,86.66666666666667
56,057.Rose_breasted_Grosbeak,26,30,86.66666666666667
13,014.Indigo_Bunting,26,30,86.66666666666667
105,106.Horned_Puffin,26,30,86.66666666666667
189,190.Red_cockaded_Woodpecker,25,29,86.20689655172413
150,151.Black_capped_Vireo,18,21,85.71428571428571
4,005.Crested_Auklet,12,14,85.71428571428571
14,015.Lazuli_Bunting,24,28,85.71428571428571
45,046.Gadwall,25,30,83.33333333333334
139,140.Summer_Tanager,25,30,83.33333333333334
12,013.Bobolink,25,30,83.33333333333334
108,109.American_Redstart,25,30,83.33333333333334
157,158.Bay_breasted_Warbler,25,30,83.33333333333334
76,077.Tropical_Kingbird,25,30,83.33333333333334
185,186.Cedar_Waxwing,25,30,83.33333333333334
2,003.Sooty_Albatross,23,28,82.14285714285714
15,016.Painted_Bunting,23,28,82.14285714285714
194,195.Carolina_Wren,24,30,80.0
97,098.Scott_Oriole,24,30,80.0
186,187.American_Three_toed_Woodpecker,16,20,80.0
88,089.Hooded_Merganser,24,30,80.0
18,019.Gray_Catbird,23,29,79.3103448275862
104,105.Whip_poor_Will,15,19,78.94736842105263
16,017.Cardinal,21,27,77.77777777777779
23,024.Red_faced_Cormorant,17,22,77.27272727272727
11,012.Yellow_headed_Blackbird,20,26,76.92307692307693
87,088.Western_Meadowlark,23,30,76.66666666666667
43,044.Frigatebird,23,30,76.66666666666667
121,122.Harris_Sparrow,23,30,76.66666666666667
78,079.Belted_Kingfisher,23,30,76.66666666666667
184,185.Bohemian_Waxwing,23,30,76.66666666666667
20,021.Eastern_Towhee,23,30,76.66666666666667
167,168.Kentucky_Warbler,22,29,75.86206896551724
